Job Title,Location,Department,Salary,Filing Deadline
Fiscal Management Analyst,"Dover, DE",DHSS/Public Health,"Yearly: $55,182","Tuesday,February 25, 2025 11:59 PM"
Management Analyst II,"Dover, DE",DOT/Maintenance & Operations,"Yearly: $45,798.00/Min - $57,248.00/Mid","Wednesday,February 26, 2025 11:59 PM"
Management Analyst III,"New Castle, DE",DHSS/Medicaid & Medical Assist,"Yearly: $55,182.00/Min - $68,978.00/Mid","Thursday,February 27, 2025 11:59 PM"
Management Analyst I,"Newark, DE",DHSS/DHCQ Division of Health Care Quality,$19.49/hour,"Monday,February 24, 2025 11:59 PM"
Management Analyst I,"Seaford, DE",DHSS/Public Health,$19.49/hour,"Wednesday,February 26, 2025 11:59 PM"
Management Analyst III,"New Castle, DE",DHSS/Administration,$28.29/hour,"Wednesday,February 26, 2025 11:59 PM"
Systems Administration Senior Analyst,"Dover, DE",DTI/Operations Office,"Yearly: $88,288.00 - $98,675.00",Open
Internal Auditor III - Environmental Finance,"Dover, De",DNREC/Office of the Secretary,"Yearly: $51,858.00/Min","Thursday,February 27, 2025 11:59 PM"
Deputy Attorney General II-V  Department of Finance/Divisions of Revenue & Accounting,"Wilmington, DE",Legal/Office of Attorney General,"Yearly:  $87,822/min - $122,920/max","Tuesday,February 25, 2025 11:59 PM"
Environmental Scientist III - Gamefish Research,"Dover, DE",DNREC/Fish and Wildlife,"Yearly: $51,858.00/Min - $64,822.00/Mid","Thursday,March 6, 2025 11:59 PM"
Environmental Scientist II-III,"Dover, DE",AGR/Agriculture,"Yearly: ES II $45,798.00/Min - ES III $51,858.00/Min","Wednesday,February 26, 2025 11:59 PM"
